deg hall1 accelX accelY
0 713 -1.83 9.53
0 713 -1.83 9.54
0 713 -1.84 9.55
0 713 -1.83 9.56
0 713 -1.85 9.56
0 713 -1.84 9.53
0 713 -1.82 9.56
0 713 -1.84 9.56
0 713 -1.86 9.53
0 713 -1.83 9.55
0 713 -1.84 9.58
0 713 -1.84 9.54
0 713 -1.84 9.53
0 713 -1.83 9.55
0 713 -1.85 9.56
0 713 -1.84 9.54
0 713 -1.82 9.54
0 713 -1.85 9.55
0 713 -1.84 9.55
0 713 -1.83 9.55
0 713 -1.83 9.55
0 713 -1.84 9.53
0 713 -1.84 9.57
0 713 -1.84 9.56
0 713 -1.85 9.54
0 713 -1.84 9.56
0 713 -1.84 9.54
0 713 -1.83 9.57
0 713 -1.83 9.55
0 713 -1.84 9.54
0 713 -1.86 9.54
0 713 -1.83 9.53
0 713 -1.84 9.56
0 713 -1.84 9.52
0 713 -1.84 9.55
0 713 -1.85 9.55
0 713 -1.84 9.56
0 713 -1.84 9.54
0 713 -1.84 9.55
0 713 -1.84 9.55
0 713 -1.86 9.55
0 713 -1.84 9.54
0 713 -1.84 9.54
0 713 -1.84 9.54
0 713 -1.84 9.54
0 713 -1.84 9.54
0 714 -1.84 9.56
0 713 -1.84 9.55
0 714 -1.83 9.54
0 713 -1.83 9.53
0 713 -1.83 9.55
0 713 -1.83 9.55
0 713 -1.84 9.55
0 713 -1.84 9.54
0 713 -1.83 9.55
0 713 -1.83 9.54
0 713 -1.84 9.55
0 713 -1.83 9.56
0 713 -1.84 9.55
0 713 -1.84 9.55
0 713 -1.83 9.55
0 713 -1.84 9.54
0 713 -1.84 9.54
0 713 -1.83 9.54
0 713 -1.83 9.56
0 713 -1.84 9.55
0 713 -1.85 9.55
0 713 -1.82 9.57
0 713 -1.84 9.53
0 713 -1.83 9.54
0 713 -1.83 9.55
0 713 -1.85 9.54
0 713 -1.84 9.54
0 713 -1.83 9.54
0 713 -1.86 9.53
0 713 -1.84 9.53
0 714 -1.84 9.53
0 713 -1.84 9.55
0 713 -1.84 9.55
0 713 -1.84 9.55
0 713 -1.84 9.53
0 713 -1.84 9.53
0 713 -1.81 9.56
0 713 -1.83 9.55
0 713 -1.84 9.58
0 713 -1.84 9.53
0 713 -1.83 9.54
0 713 -1.83 9.55
0 713 -1.83 9.56
0 713 -1.84 9.53
0 713 -1.84 9.56
0 713 -1.84 9.54
0 713 -1.85 9.56
0 713 -1.83 9.55
0 713 -1.84 9.56
0 713 -1.84 9.55
0 713 -1.83 9.56
0 713 -1.84 9.55
0 713 -1.84 9.54
0 713 -1.84 9.54
0 713 -1.84 9.55
0 713 -1.85 9.55
0 713 -1.84 9.55
0 713 -1.84 9.53
0 714 -1.83 9.53
0 713 -1.83 9.55
0 713 -1.84 9.54
0 713 -1.84 9.56
0 713 -1.84 9.54
0 713 -1.84 9.57
0 713 -1.84 9.52
0 713 -1.84 9.54
0 713 -1.83 9.55
0 713 -1.84 9.57
0 713 -1.82 9.53
0 713 -1.83 9.54
0 713 -1.84 9.53
0 713 -1.83 9.54
0 713 -1.84 9.51
0 713 -1.83 9.57
0 713 -1.85 9.52
0 713 -1.84 9.56
0 713 -1.84 9.56
0 713 -1.83 9.56
0 713 -1.84 9.55
0 713 -1.84 9.55
0 713 -1.85 9.55
0 713 -1.84 9.56
0 713 -1.82 9.56
0 713 -1.86 9.51
0 713 -1.83 9.54
0 713 -1.85 9.55
0 713 -1.84 9.53
0 713 -1.84 9.55
0 713 -1.83 9.53
0 713 -1.84 9.54
0 713 -1.83 9.53
0 713 -1.85 9.52
0 713 -1.82 9.55
0 713 -1.84 9.56
0 713 -1.86 9.55
0 713 -1.84 9.54
0 713 -1.83 9.56
0 713 -1.84 9.53
0 713 -1.82 9.54
0 713 -1.85 9.56
0 713 -1.83 9.54
0 713 -1.84 9.56
0 713 -1.82 9.53
0 713 -1.85 9.56
0 713 -1.83 9.54
0 713 -1.84 9.55
0 713 -1.85 9.55
0 713 -1.85 9.55
0 714 -1.83 9.54
0 713 -1.83 9.57
0 713 -1.83 9.55
0 713 -1.84 9.56
0 714 -1.84 9.53
0 713 -1.84 9.55
0 713 -1.83 9.52
0 713 -1.84 9.54
0 713 -1.84 9.54
0 713 -1.82 9.53
0 713 -1.83 9.55
0 713 -1.84 9.53
0 713 -1.84 9.56
0 714 -1.85 9.54
0 713 -1.83 9.53
0 713 -1.84 9.56
0 713 -1.84 9.54
0 713 -1.82 9.54
0 713 -1.84 9.55
0 713 -1.84 9.55
0 713 -1.81 9.54
0 713 -1.83 9.54
0 713 -1.85 9.54
0 713 -1.85 9.55
0 713 -1.84 9.54
0 713 -1.83 9.54
0 713 -1.85 9.54
0 713 -1.84 9.57
0 713 -1.85 9.53
0 713 -1.84 9.54
0 713 -1.84 9.53
0 713 -1.84 9.54
0 713 -1.83 9.53
0 713 -1.85 9.57
0 713 -1.83 9.55
0 713 -1.84 9.56
0 713 -1.85 9.55
0 713 -1.84 9.58
0 713 -1.84 9.54
0 713 -1.81 9.55
0 713 -1.84 9.54
0 713 -1.84 9.54
0 713 -1.82 9.54
0 713 -1.83 9.55
0 713 -1.85 9.53
0 713 -1.82 9.57
0 713 -1.84 9.54
0 713 -1.83 9.56
0 713 -1.84 9.55
0 713 -1.84 9.53
0 713 -1.85 9.56
0 713 -1.84 9.55
0 713 -1.85 9.54
3 -13107 9.55 0.00
5 -2621 9.53 0.00
7 15729 9.55 0.00
9 -13107 9.55 0.00
12 -31457 9.54 0.00
16 15729 9.54 0.00
21 15729 9.54 0.00
24 -31457 9.54 0.00
28 -20972 9.55 0.00
28 -31457 9.55 0.00
28 -2621 9.54 0.00
28 -31457 9.56 0.00
28 15729 8.23 0.00
28 10486 8.56 0.00
28 -26214 9.25 0.00
28 -10486 10.15 0.00
28 28836 9.99 0.00
28 -23593 10.99 0.00
28 -15729 9.79 0.00
28 13107 0.00 0.00
28 31457 0.00 0.00
28 755 0.00 0.00
28 28836 9.53 0.00
28 -31457 11.26 0.00
28 -10486 9.47 0.00
28 -23593 10.93 0.00
28 31457 10.29 0.00
28 26214 7.88 0.00
28 13107 9.51 0.00
28 -28836 8.88 0.00
29 13107 9.50 0.00
32 26214 8.09 0.00
35 -18350 9.23 -1.21
40 -31457 0.00 0.00
44 -26214 9.79 0.00
49 7864 -2.27 10.33
52 694 0.00 0.00
53 -18350 0.00 0.00
53 23593 8.64 0.00
53 672 0.00 0.00
53 -7864 7.18 0.00
53 2621 8.03 0.00
53 -10486 8.76 0.00
53 767 0.00 0.00
53 -10486 7.89 0.00
53 23593 7.09 0.00
53 23593 0.00 0.00
53 745 0.00 0.00
53 -7864 7.73 0.00
53 -10486 8.08 0.00
53 740 0.00 0.00
53 -18350 5.57 0.00
53 -15729 4.45 0.00
53 -15729 8.35 0.00
53 753 -0.26 7.67
53 766 -1.70 6.76
53 768 1.14 7.25
53 769 3.21 9.04
53 770 0.79 0.00
53 767 0.43 10.75
53 752 -0.93 0.00
53 0 0.00 0.00
53 0 10.75 0.00
53 -5243 8.22 0.00
53 -10486 9.35 0.00
53 -28836 4.23 0.00
53 -15729 0.00 0.00
53 15729 7.63 0.00
53 769 0.00 0.00
53 15729 0.00 0.00
53 5243 0.00 0.00
53 -18350 9.12 0.00
53 18350 0.00 0.00
53 748 1.94 7.25
53 722 -1.63 8.65
54 714 0.00 0.00
64 -31457 0.00 0.00
64 10486 5.73 0.00
64 -28836 6.10 0.00
64 -10486 9.31 0.00
64 13107 6.37 0.00
64 20972 3.99 0.00
64 13107 6.10 0.00
64 741 0.00 0.00
65 7864 0.00 1.43
66 -23593 -0.07 7.82
81 13107 0.00 0.00
81 -10486 9.92 0.00
81 5243 0.00 0.00
81 720 0.00 0.00
81 -15729 3.16 0.00
81 502 1.68 1.09
81 500 0.00 0.00
81 -13107 0.00 0.00
81 -28836 6.13 0.00
81 767 -1.37 6.34
81 763 0.00 0.00
81 2621 4.31 0.00
81 -10486 1.88 0.00
81 -20972 6.53 0.00
81 0 4.50 0.00
81 7864 6.07 0.00
81 31457 0.00 0.00
81 -18350 4.37 0.00
81 31457 -0.46 0.00
81 -15729 2.32 0.00
81 0 3.60 0.00
81 26214 8.53 0.00
81 -13107 5.88 0.00
81 2621 1.95 0.00
81 7864 1.82 0.00
81 10486 -2.05 0.00
81 670 -1.50 4.35
81 630 0.56 3.69
81 584 2.26 6.27
81 739 -0.53 6.19
81 765 -1.59 3.13
81 769 2.41 6.77
81 768 2.25 -0.65
81 763 6.75 -1.55
81 746 -0.64 4.75
81 746 -1.17 3.15
81 503 1.45 3.33
81 13107 3.24 0.00
81 769 -1.88 0.00
81 13107 0.00 0.00
81 18350 0.17 0.00
81 7864 0.00 0.00
81 5243 0.29 0.00
81 7864 0.00 0.00
81 31457 0.00 0.00
81 2621 3.62 0.00
81 20972 5.99 0.00
81 10486 0.00 0.00
81 -26214 4.26 0.00
81 512 0.00 0.00
81 -28836 0.00 0.00
81 20972 0.00 0.00
81 15729 0.00 -1.26
81 28836 0.00 0.00
81 -2621 0.00 0.00
81 -13107 2.76 0.00
81 716 -2.50 5.01
81 867 -3.82 5.81
81 10486 6.40 0.00
81 -5243 0.00 0.00
81 26214 0.00 0.00
81 5243 0.00 0.00
81 18350 5.87 0.00
81 690 -1.51 0.00
81 23593 0.00 0.00
81 766 0.00 0.00
81 -10486 0.00 0.00
81 -26214 -1.78 0.00
81 20972 8.73 0.00
81 20972 8.84 0.00
81 7864 0.00 0.00
81 -7864 2.73 0.00
81 7864 6.90 0.00
81 -23593 -2.17 0.00
81 -20972 4.87 0.00
81 731 0.00 0.00
81 -20972 2.86 0.00
81 13107 7.04 0.00
81 -15729 -1.92 0.00
81 -31457 6.66 0.00
81 2621 3.80 0.00
81 -31457 0.00 0.00
81 31457 2.97 0.00
81 754 -0.46 4.07
81 683 2.34 2.43
81 464 0.00 0.00
81 23593 0.00 0.00
81 -10486 0.00 0.00
81 769 0.00 0.00
81 -18350 0.00 0.00
81 -20972 4.62 0.00
81 23593 8.00 0.00
81 2621 0.00 0.00
81 666 1.75 0.00
81 -23593 0.00 0.00
81 766 0.00 0.00
81 13107 0.00 0.00
82 -28836 0.00 0.00
85 692 0.00 0.00
85 -13107 0.00 0.00
85 -10486 4.80 0.00
85 769 0.00 0.00
85 13107 -2.23 0.00
85 760 0.00 0.00
85 856 0.00 0.00
85 -10486 0.00 0.00
85 -23593 0.00 0.00
85 -15729 0.00 0.00
86 7864 -0.86 0.00
87 -15729 2.65 0.00
87 -28836 0.00 0.00
87 752 0.00 0.00
87 -20972 0.00 0.00
87 769 0.00 0.00
87 -18350 -0.14 0.00
87 768 3.41 3.33
88 755 6.00 0.00
91 709 -2.40 0.00
90 769 0.00 0.00
90 -28836 0.00 0.00
90 -23593 1.88 0.00
90 755 0.00 0.00
90 5243 6.41 0.00
90 -26214 0.47 0.00
90 2621 -0.74 0.00
90 762 0.00 0.00
90 -20972 1.56 0.00
